impl,fc,m,n,k,groups,ktile,best_ms,best_us,gflops,config,log
mxfp4_bf16,FC2,2,4096,512,128,512,0.241107000,241.107000,4453.390000,"KernelPtrArrayTmaWarpSpecializedCooperative Shape<_1,_1,_1> Shape<_128, _16, _512> Stages=4",.claude/optimization-logs/2026-05-21-cmx-four-impl-best-configs-231136/mxfp4_bf16_FC2_m2_n4096_k512_g128_k512.log
mxfp4_bf16,FC2,4,4096,512,128,128,0.230946000,230.946000,9298.660000,"KernelPtrArrayTmaWarpSpecializedCooperative Shape<_1,_1,_1> Shape<_128, _16, _128> Stages=16",.claude/optimization-logs/2026-05-21-cmx-four-impl-best-configs-231136/mxfp4_bf16_FC2_m4_n4096_k512_g128_k128.log
mxfp4_bf16,FC2,4,4096,512,128,256,0.231265000,231.265000,9285.830000,"KernelPtrArrayTmaWarpSpecializedCooperative Shape<_1,_1,_1> Shape<_128, _16, _256> Stages=8",.claude/optimization-logs/2026-05-21-cmx-four-impl-best-configs-231136/mxfp4_bf16_FC2_m4_n4096_k512_g128_k256.log
mxfp4_bf16,FC2,4,4096,512,128,512,0.242425000,242.425000,8858.340000,"KernelPtrArrayTmaWarpSpecializedCooperative Shape<_1,_1,_1> Shape<_128, _16, _512> Stages=4",.claude/optimization-logs/2026-05-21-cmx-four-impl-best-configs-231136/mxfp4_bf16_FC2_m4_n4096_k512_g128_k512.log
mxfp4_bf16,FC2,8,4096,512,128,128,0.234676000,234.676000,18301.700000,"KernelPtrArrayTmaWarpSpecializedCooperative Shape<_1,_1,_1> Shape<_128, _16, _128> Stages=16",.claude/optimization-logs/2026-05-21-cmx-four-impl-best-configs-231136/mxfp4_bf16_FC2_m8_n4096_k512_g128_k128.log
mxfp4_bf16,FC2,8,4096,512,128,256,0.235904000,235.904000,18206.400000,"KernelPtrArrayTmaWarpSpecializedCooperative Shape<_1,_1,_1> Shape<_128, _16, _256> Stages=8",.claude/optimization-logs/2026-05-21-cmx-four-impl-best-configs-231136/mxfp4_bf16_FC2_m8_n4096_k512_g128_k256.log
mxfp4_bf16,FC2,8,4096,512,128,512,0.244635000,244.635000,17556.700000,"KernelPtrArrayTmaWarpSpecializedCooperative Shape<_1,_1,_1> Shape<_128, _16, _512> Stages=4",.claude/optimization-logs/2026-05-21-cmx-four-impl-best-configs-231136/mxfp4_bf16_FC2_m8_n4096_k512_g128_k512.log
mxfp4_bf16,FC2,12,4096,512,128,128,0.233259000,233.259000,27619.400000,"KernelPtrArrayTmaWarpSpecializedCooperative Shape<_1,_1,_1> Shape<_128, _16, _128> Stages=16",.claude/optimization-logs/2026-05-21-cmx-four-impl-best-configs-231136/mxfp4_bf16_FC2_m12_n4096_k512_g128_k128.log
mxfp4_bf16,FC2,12,4096,512,128,256,0.232615000,232.615000,27695.800000,"KernelPtrArrayTmaWarpSpecializedCooperative Shape<_1,_1,_1> Shape<_128, _16, _256> Stages=8",.claude/optimization-logs/2026-05-21-cmx-four-impl-best-configs-231136/mxfp4_bf16_FC2_m12_n4096_k512_g128_k256.log
mxfp4_bf16,FC2,12,4096,512,128,512,0.243190000,243.190000,26491.400000,"KernelPtrArrayTmaWarpSpecializedCooperative Shape<_1,_1,_1> Shape<_128, _16, _512> Stages=4",.claude/optimization-logs/2026-05-21-cmx-four-impl-best-configs-231136/mxfp4_bf16_FC2_m12_n4096_k512_g128_k512.log
mxfp4_bf16,FC2,18,4096,512,128,128,0.288378000,288.378000,33510.500000,"KernelPtrArrayTmaWarpSpecializedCooperative Shape<_1,_1,_1> Shape<_128, _32, _128> Stages=12",.claude/optimization-logs/2026-05-21-cmx-four-impl-best-configs-231136/mxfp4_bf16_FC2_m18_n4096_k512_g128_k128.log
mxfp4_bf16,FC2,18,4096,512,128,256,0.296791000,296.791000,32560.500000,"KernelPtrArrayTmaWarpSpecializedCooperative Shape<_1,_1,_1> Shape<_128, _32, _256> Stages=6",.claude/optimization-logs/2026-05-21-cmx-four-impl-best-configs-231136/mxfp4_bf16_FC2_m18_n4096_k512_g128_k256.log
mxfp4_bf16,FC2,18,4096,512,128,512,0.304827000,304.827000,31702.200000,"KernelPtrArrayTmaWarpSpecializedCooperative Shape<_1,_1,_1> Shape<_128, _32, _512> Stages=3",.claude/optimization-logs/2026-05-21-cmx-four-impl-best-configs-231136/mxfp4_bf16_FC2_m18_n4096_k512_g128_k512.log
mxfp4_bf16,FC2,22,4096,512,128,128,0.288331000,288.331000,40963.900000,"KernelPtrArrayTmaWarpSpecializedCooperative Shape<_2,_1,_1> Shape<_128, _32, _128> Stages=12",.claude/optimization-logs/2026-05-21-cmx-four-impl-best-configs-231136/mxfp4_bf16_FC2_m22_n4096_k512_g128_k128.log
mxfp4_bf16,FC2,22,4096,512,128,256,0.296308000,296.308000,39861.000000,"KernelPtrArrayTmaWarpSpecializedCooperative Shape<_1,_1,_1> Shape<_128, _32, _256> Stages=6",.claude/optimization-logs/2026-05-21-cmx-four-impl-best-configs-231136/mxfp4_bf16_FC2_m22_n4096_k512_g128_k256.log
mxfp4_bf16,FC2,22,4096,512,128,512,0.306585000,306.585000,38525.000000,"KernelPtrArrayTmaWarpSpecializedCooperative Shape<_1,_1,_1> Shape<_128, _32, _512> Stages=3",.claude/optimization-logs/2026-05-21-cmx-four-impl-best-configs-231136/mxfp4_bf16_FC2_m22_n4096_k512_g128_k512.log
